e1,e2,e3,e4,e5,e6,e7,e8
161.3,212.5,152.3,52.1,78.9,185.1,23.7,23.4
84.2,83.6,37.4,24.3,29,429.9,249.1,88.7
225.7,207.1,372.8,76.1,143.8,126,305.8,355.8
10348.7,10347.3,10962.2,513.3,400.7,335.4,254.4,243.7
399,265.9,125.8,198.7,215.7,284.4,217.9,203.3
236.4,532.6,638.1,769.5,449.1,540.6,562.3,893.8
10240.9,10336.4,179,85.1,123.6,109.8,97.4,136.9
277.9,102.2,302.3,180.4,233,148.7,183,273.7
332.7,236.8,215.5,159.1,261.1,276.8,250.4,298.3
428.1,32.7,41.4,52.5,59.5,70.4,91.7,651.5
533.3,73.3,97,96.1,118.1,351.5,809.2,1062.2
72.2,121.9,260.6,78.1,82.4,76.4,72.2,1248.8
82.4,300.7,222.5,257.6,229.5,302.5,159.9,75.9
138,411.4,223.3,254.5,190.7,162.2,454.2,577.4
381.7,174,185.1,153.5,126.1,127.6,203.1,198.8
10601.8,769.8,129.3,91.8,96.5,89,1542.6,1637.1
272.1,495.7,466.1,164.8,153.9,136.1,129.9,231
1155.4,130.7,113.5,103.4,157.8,214.9,123.7,115.1
529.3,586.9,327.1,226.8,225.3,344.9,390.3,584.5
459.2,598.3,253.7,245.9,268.2,256.6,194.3,236.4
226.6,210,167.6,432.9,163.3,250.8,206.9,185.7
125.9,279.9,34.9,32.9,60.2,81.4,139.7,161
443.3,616.7,766.9,120.5,124.3,172.9,236.3,624.4
117.1,513.6,141.8,312.1,260,260.1,167.9,144.9
155.9,872.5,138.8,142.1,181.7,149.6,189.9,513.5
820.5,146.4,157.8,159.7,352.9,409.1,874.2,960.4
804.8,501.6,246.9,332.1,266.3,1324.1,1000.7,1806.2
96.2,453,183.7,40.5,44.7,39.7,56.9,95
527.6,268.9,531.2,254.6,984.9,1154.8,1136,1157.5
395.5,282,382.6,528.2,1144.6,1256.7,1320.7,1113
469.5,184.9,147.2,129,241.4,253.2,400.3,353.8
219.4,294.3,385.1,880.1,692,839.6,420.1,656.8
489.1,513.7,306.4,328.6,406.7,509.7,524.6,490.8
206.3,197.4,181.1,308.8,396.3,336.9,287.5,357.7
158.7,175.8,146.7,139.8,121.2,124.7,266.4,317
410.5,29.5,47.9,47.2,107.1,57.3,124.2,121.2
81,143.9,402.5,643.9,244.8,788.6,339.8,637.1
654,411.4,314.7,121.1,103.7,72.7,107.4,369.2
495.1,384.7,367.2,458.6,404.6,312,922.2,853.6
191.3,342.2,1130.5,1529.8,1220,917.6,851.1,247
332.6,327.4,104.6,321.9,355.7,256.2,244.7,380.2
